Unique Names	NameCopy	MatchedViaf	Length	Manual Viaf	Notes
Albert Gleizes	Gleizes, Albert, 1881-1953	66467993			
CAMILLE GOEMANS	Goemans, Camille	93089977			
Claire Goll	Goll, Claire, 1891-1977	56610521			
Ciaire Goll	Goll, Claire, 1891-1977	56610521			
Iwan Goll	Goll, Yvan, 1891-1950	39390718			
Golo Gangi	Golo Gangi				
Natalie Gontscharowa	Goncharova, Natalii︠a︡ Sergeevna, 1881-1962	295433813			
Gontscharowa	Gontscharowa				
Gino Gori	Gori, Gino, 1876-1952	59216046			
John von Gorsleben	Gorsleben, Rudolf John, 1883-1930	57375226			
Götz	Götz				
Corrado Govoni	Govoni, Corrado, 1884-1965	56673517			
Hermann Gramlich	Gramlich, Hermann	171307326			
Grete von Urbanitzky	Grete von Urbanitzky	64780939			
Roch Grey	Grey, Roch	45811448			
Juan Gris	Gris, Juan, 1887-1927	49245334			
Isaac Grünewald	Grünewald, Isaac, 1889-1946	5239288			
H. C	H. C		4		
H. P	H. P		4		
H. Reichenberger	H. Reichenberger		16		
H. Siebelind	H. Siebelind		12		
Gustav Haeberlein	Haeberlein, Heinrich 1820-1867	20881915			
Hans Haffenrichter	Haffenrichter, Hans	50016961			
Per Hallström	Hallström, Per, 1866-1960	66566015			
Hans Brass	Hans Brass				
Hans Ehrenbaum Degele	Hans Ehrenbaum Degele				
Hans Gause	Hans Gause				
Ferdinand Hardekopf	Hardekopf, Ferdinand	76444389			
Harold Bengen	Harold Bengen peintre allemand	40415202			
Paul Hatvani	Hatvani, Paul, 1892-1975	8141730			
Wilhelm Hausenstein	Hausenstein, Wilhelm, 1882-1957	7405078			
Hausmann Peri	Hausmann Peri				
Raoul Hausmann	Hausmann, Raoul, 1886-1971	51690736			
E. Heckel	Heckel, Erich, 1883-1970	41848647			
Heemskerck	Heemskerck				
Jacoba van Heemskerck	Heemskerck van Beest, Jacoba van, 1876-1923	26813215			
Hegner	Hegner				
Iwan Heilbut	Heilbut, Iwan	30293248			
Kurt Heinar	Heinar, Kurt	3463713			
Heinrich Ehl	Heinrich Ehl				
Heinrich Horvát	Heinrich Horvát				
Heinrich Mann	Heinrich Mann				
Heinrich Pudor	Heinrich Pudor				
Heinrich Rebensburg	Heinrich Rebensburg				
Karl Borromäus Heinrich	Heinrich, Karl Borromäus, 1884-	71865533			
Heinz Leuner	Heinz Leuner				
Heinz Luedecke	Heinz Luedecke				
Henry Gauthier-Villars	Henry Gauthier-Villars				
Hermaii Wagaer	Hermaii Wagaer				observe context
Hermann Huber	Hermann Huber				No Viaf Results
Hermann Koch	Hermann Koch				ambiguous viaf
Hermann Selka	Hermann Selka				
Hermann Wagner	Hermann Wagner				
Herwath Walden	Herwath Walden				
Walther Heymann	Heymann, Walther, 1882-1915	35217401			
Walter Heymann	Heymann, Walther, 1882-1915	35217401			
Alfred Walter Heymel	Heymel, Alfred Walter, 1878-1914	39416910			
Kurt Heynicke	Heynicke, Kurt, 1891-1985	52481285			
Ludwig Hilberseimer	Hilberseimer, Ludwig	24648931			
Peter Hille	Hille, Peter, 1854-1904	97904344			
Kurt Hiller	Hiller, Kurt, 1885-1972	47553949			
Sigrid Hjertén–Grünewald	Hjertén, Sigrid, 1885-1948	72203175			
Jacob van Hoddis	Hoddis, Jakob van 1887-1942	39414707			
Jakob van Hoddis	Hoddis, Jakob van 1887-1942	39414707			
Jacob von Hoddis	Hoddis, Jakob van 1887-1942	39414707			
Ferdinand Hodler	Hodler, Ferdinand, 1853-1918	41848532			
Vlatislav Hofman	Hofman, Vlastislav, 1884-1964	62340502			
Arno Hotz	Hotz, Arno	200319589			
Fritz Hübner	Hübner, Fritz	32193380			
Friedrich Markus Huebner	Huebner, Friedrich Markus	45070297			
Hugo Händel	Hugo Händel				
Hugo Scheiber	Hugo Scheiber				
Hugo Wolf	Hugo Wolf				
Herbert Ihering	Ihering, Herbert, 1888-1977	76344936			
Bernhard Ihringer	Ihringer, Bernhard 1889-1918	171081129			
Ingeborg Lacour-Torrup	Ingeborg Lacour-Torrup				No Viaf Results
Johannes Itten	Itten, Johannes, 1888-1967	71392512			
Ivan Poljak	Ivan Poljak				
J. A	J. A		4		
J. L. Windholz	J. L. Windholz		14		
J. Leonard Roeselare	J. Leonard Roeselare		20		
J. Pfister	J. Pfister		10		
Jablowsky	Jablowsky				
Jacob Eingartner	Jacob Eingartner				
Heinrich Eduard Jacob	Jacob, Heinrich Eduard, 1889-1967	64122568			
Jacoba van Heemskreck	Jacoba van Heemskreck				
Jacques	Jacques				
Jacques Baron	Jacques Baron				
Jacques Rivière	Jacques Rivière			http://viaf.org/viaf/100209825/	
Jacques Riviére	Jacques Rivière			http://viaf.org/viaf/100209825/	
Harry Jaeger-Mewe	Jaeger-Mewe, Harrn (1876- ).	10878999			
Marcel Janco	Janco, Marcel, 1895-1984	29501079			
Guglielmo Jannelli	Jannelli, Guglielmo, 1895-1950	10673609			
Jean Günter	Jean Günter				
Jean Zrzavy	Jean Zrzavy				
Jean-Jacques	Jean-Jacques				pseudo H. Jacob
Jean-Jaques	Jean-Jaques				pseudo H. Jacob
Mirko Jelusic	Jelusich, Mirko, 1886-1969	51818830			
Dusan Jerkovic	Jerković, Dušan	305644191			
